ชื่อย่อ,Company Name,ชื่อบริษัท,กลุ่มอุตสาหกรรม,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
HENG,HENG LEASING AND CAPITAL PUBLIC COMPANY LIMITED,บริษัท เฮงลิสซิ่ง แอนด์ แคปปิตอล จำกัด (มหาชน),Financials,AA,A,,,,,,,,
HMPRO,HOME PRODUCT CENTER PUBLIC COMPANY LIMITED,บริษัท โฮม โปรดักส์ เซ็นเตอร์ จำกัด (มหาชน),Services,AA,AA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
HTC,HAAD THIP PUBLIC COMPANY LIMITED,บริษัท หาดทิพย์ จำกัด (มหาชน),Agro & Food Industry,AA,AA,Yes,Yes,Yes,Yes,Yes,,,
ICHI,ICHITAN GROUP PUBLIC COMPANY LIMITED,บริษัท อิชิตัน กรุ๊ป จำกัด (มหาชน),Agro & Food Industry,A,A,Yes,,,Yes,,,,
III,TRIPLE I LOGISTICS PUBLIC COMPANY LIMITED,บริษัท ทริพเพิล ไอ โลจิสติกส์ จำกัด (มหาชน),Services,AA,BBB,,,,,,,,
ILINK,INTERLINK COMMUNICATION PUBLIC COMPANY LIMITED,บริษัท อินเตอร์ลิ้งค์ คอมมิวนิเคชั่น จำกัด (มหาชน),Technology,A,,Yes,Yes,Yes,Yes,,,,
ILM,INDEX LIVING MALL PUBLIC COMPANY LIMITED,บริษัท อินเด็กซ์ ลิฟวิ่งมอลล์ จำกัด (มหาชน),Services,AA,BBB,,,,,,,,
INSET,INFRASET PUBLIC COMPANY LIMITED,บริษัท อินฟราเซท จำกัด (มหาชน),Technology,BBB,,,,,,,,,
IRC,INOUE RUBBER (THAILAND) PUBLIC COMPANY LIMITED,บริษัท อีโนเว รับเบอร์ (ประเทศไทย) จำกัด (มหาชน),Industrials,A,A,Yes,Yes,Yes,Yes,Yes,Yes,,
IRPC,IRPC PUBLIC COMPANY LIMITED,บริษัท ไออาร์พีซี จำกัด (มหาชน),Resources,,AA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
IT,IT CITY PUBLIC COMPANY LIMITED,บริษัท ไอที ซิตี้ จำกัด (มหาชน),Services,A,,,,,,,,,
ITEL,INTERLINK TELECOM PUBLIC COMPANY LIMITED,บริษัท อินเตอร์ลิ้งค์ เทเลคอม จำกัด (มหาชน),Technology,A,A,Yes,Yes,Yes,,,,,
IVL,INDORAMA VENTURES PUBLIC COMPANY LIMITED,บริษัท อินโดรามา เวนเจอร์ส จำกัด (มหาชน),Industrials,AAA,AA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
JMART,JAYMART GROUP HOLDINGS PUBLIC COMPANY LIMITED,บริษัท เจมาร์ท กรุ๊ป โฮลดิ้งส์ จำกัด (มหาชน),Technology,A,,,,,,,,,
JMT,JMT NETWORK SERVICES PUBLIC COMPANY LIMITED,บริษัท เจ เอ็ม ที เน็ทเวอร์ค เซอร์วิสเซ็ส จำกัด (มหาชน),Financials,BBB,,,,,,,,,
JTS,JASMINE TECHNOLOGY SOLUTION PUBLIC COMPANY LIMITED,บริษัท จัสมิน เทคโนโลยี โซลูชั่น จำกัด (มหาชน),Technology,,BBB,,,,,,,,
KBANK,KASIKORNBANK PUBLIC COMPANY LIMITED,ธนาคารกสิกรไทย จำกัด (มหาชน),Financials,AAA,AAA,Yes,Yes,Yes,Yes,Yes,Yes,,Yes
KCE,KCE ELECTRONICS PUBLIC COMPANY LIMITED,บริษัท เคซีอี อีเลคโทรนิคส์ จำกัด (มหาชน),Technology,A,,,,,,,,,
KCG,KCG CORPORATION PUBLIC COMPANY LIMITED,บริษัท เคซีจี คอร์ปอเรชั่น จำกัด (มหาชน),Agro & Food Industry,A,,,,,,,,,
KEX,KERRY EXPRESS (THAILAND) PUBLIC COMPANY LIMITED,บริษัท เคอรี่ เอ็กซ์เพรส (ประเทศไทย) จำกัด (มหาชน),Services,,BBB,Yes,Yes,,,,,,
KKP,KIATNAKIN PHATRA BANK PUBLIC COMPANY LIMITED,ธนาคารเกียรตินาคินภัทร จำกัด (มหาชน) ,Financials,AA,BBB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
KSL,KHON KAEN SUGAR INDUSTRY PUBLIC COMPANY LIMITED,บริษัท น้ำตาลขอนแก่น จำกัด (มหาชน),Agro & Food Industry,,BBB,,,,,,,,
KTB,KRUNG THAI BANK PUBLIC COMPANY LIMITED,ธนาคารกรุงไทย จำกัด (มหาชน),Financials,AAA,AAA,Yes,Yes,Yes,Yes,,Yes,,
KTC,KRUNGTHAI CARD PUBLIC COMPANY LIMITED,บริษัท บัตรกรุงไทย จำกัด (มหาชน),Financials,AAA,AAA,Yes,Yes,Yes,Yes,,,,
KUMWEL,KUMWELL CORPORATION PUBLIC COMPANY LIMITED,บริษัท คัมเวล คอร์ปอเรชั่น จำกัด (มหาชน),Industrials,A,A,,,,,,,,
LH,LAND AND HOUSES PUBLIC COMPANY LIMITED,บริษัท แลนด์แอนด์เฮ้าส์ จำกัด (มหาชน),Property & Construction,AA,A,,,,,,,,
LHFG,LH FINANCIAL GROUP PUBLIC COMPANY LIMITED,บริษัท แอล เอช ไฟแนนซ์เชียล กรุ๊ป จำกัด (มหาชน),Financials,A,BBB,Yes,Yes,,,,,,
LIT,LEASE IT PUBLIC COMPANY LIMITED,บริษัท ลีซ อิท จำกัด (มหาชน),Financials,,BBB,Yes,Yes,Yes,,,,,
LOXLEY,LOXLEY PUBLIC COMPANY LIMITED,บริษัท ล็อกซเล่ย์ จำกัด (มหาชน),Services,A,,,,,,,,,
